insert_AVL,insert_BinaryTree,interactions,tree_size
1,1,9384,0
2,2,887,1
3,3,2778,2
3,4,6916,3
4,5,7794,4
4,6,8336,5
4,5,5387,6
4,3,493,7
5,6,6650,8
4,4,1422,9
5,5,2363,10
4,4,28,11
5,7,8691,12
5,5,60,13
5,6,7764,14
5,6,3927,15
5,4,541,16
6,7,3427,17
5,8,9173,18
6,7,5737,19
6,7,5212,20
7,8,5369,21
5,6,2568,22
7,8,6430,23
7,9,5783,24
5,6,1531,25
7,8,2863,26
7,8,5124,27
7,9,4068,28
6,9,3136,29
7,10,3930,30
6,2,9803,31
7,11,4023,32
6,10,3059,33
7,11,3070,34
6,7,8168,35
5,5,1394,36
6,8,8457,37
7,10,5012,38
7,8,8043,39
7,10,6230,40
7,7,7374,41
7,11,4422,42
7,12,4920,43
5,8,3785,44
7,9,8538,45
7,9,5199,46
6,12,4325,47
7,8,8316,48
7,13,4371,49
8,11,6414,50
6,9,3527,51
8,11,6092,52
7,9,8981,53
7,3,9957,54
7,7,1874,55
7,7,6863,56
8,10,9171,57
7,8,6997,58
8,9,7282,59
7,8,2306,60
6,6,926,61
8,10,7085,62
6,12,6328,63
7,6,337,64
7,9,6506,65
8,5,847,66
7,8,1730,67
7,7,1314,68
7,12,5858,69
7,12,6125,70
8,9,3896,71
6,3,9583,72
8,6,546,73
7,10,8815,74
8,10,3368,75
7,8,5435,76
8,7,365,77
7,12,4044,78
8,10,3751,79
8,8,1088,80
7,8,6809,81
8,11,7277,82
8,12,7179,83
8,13,5789,84
9,11,3585,85
8,9,5404,86
7,7,2652,87
8,8,2755,88
8,7,2400,89
7,4,9933,90
6,11,5061,91
7,4,9677,92
9,11,3369,93
8,8,7740,94
8,5,13,95
8,13,6227,96
7,10,8587,97
7,9,8095,98
8,9,7540,99
8,7,796,100
9,8,571,101
7,7,1435,102
9,8,379,103
8,10,7468,104
8,10,6602,105
9,7,98,106
9,11,2903,107
8,11,3318,108
8,9,493,109
8,9,6653,110
9,9,757,111
8,10,7302,112
9,8,281,113
8,13,4287,114
7,4,9442,115
7,10,3866,116
8,5,9690,117
7,9,8445,118
8,11,6620,119
8,10,8441,120
8,13,4730,121
7,9,8032,122
8,10,8118,123
8,11,8098,124
8,10,5772,125
9,14,4482,126
9,10,676,127
9,11,710,128
8,11,8928,129
9,15,4568,130
8,10,7857,131
8,5,9498,132
8,9,2354,133
9,16,4587,134
8,9,6966,135
7,9,5307,136
9,17,4684,137
9,14,6220,138
7,11,8625,139
8,8,1529,140
9,12,2872,141
8,9,5733,142
8,12,8830,143
9,6,9504,144
8,6,20,145
8,9,8271,146
8,12,3369,147
9,6,9709,148
9,10,6716,149
8,13,6341,150
8,11,8150,151
8,11,7797,152
9,12,724,153
8,8,2619,154
8,9,2246,155
9,9,2847,156
8,10,3452,157
9,12,2922,158
9,12,3556,159
9,8,2380,160
8,11,7489,161
8,7,7765,162
9,10,8229,163
8,5,9842,164
9,10,2351,165
8,10,5194,166
8,9,1501,167
7,11,7035,168
8,8,7765,169
9,9,125,170
9,14,4915,171
9,10,6988,172
9,14,5857,173
9,12,3744,174
8,10,6492,175
9,10,2228,176
8,11,8366,177
8,6,9860,178
10,11,1937,179
8,8,1433,180
8,8,2552,181
9,11,6438,182
8,9,9229,183
9,12,3276,184
8,10,5408,185
9,10,1475,186
9,13,6122,187
8,13,8859,188
9,14,4396,189
9,13,6030,190
8,9,1238,191
9,11,8236,192
9,11,3794,193
9,15,5819,194
9,15,4429,195
9,15,6144,196
8,9,1012,197
10,14,5929,198
9,7,9530,199
8,11,8777,200
9,9,2405,201
9,16,4444,202
9,11,5764,203
9,18,4614,204
9,16,4539,205
8,12,8607,206
9,9,6841,207
9,13,2905,208
10,15,4819,209
9,11,5129,210
9,12,689,211
9,11,7370,212
8,11,7918,213
9,7,9918,214
9,11,6997,215
9,12,3325,216
8,9,7744,217
9,6,9471,218
10,12,2184,219
8,10,8491,220
9,10,5500,221
9,7,9773,222
8,11,6726,223
10,11,5645,224
10,12,5591,225
9,12,7506,226
9,12,8140,227
9,13,2955,228
10,8,9787,229
8,10,7670,230
8,10,8083,231
8,11,8543,232
